age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,target,sector_trend,fed_rate,vix
1.0849,5.3370000000000015,-0.6164,4.6082,8,5,16.15731646026544,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,0,5.0,5.26,11.155263157894735
4.9041,4.9041,2.00135,4.3589,0,1,12.765691290604371,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,10.0,0.39,62.66894736842105
0.0192,2.4356,0.7945,4.3781,15,3,16.11308320963728,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,1,24.8,4.24,21.651
4.6658,8.9973,8.8384,8.8384,12,5,16.185754392890075,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,1,3.0,3.5,12.951304347826088
6.6082,6.6082,2.7836,4.3014,0,1,12.206077645517674,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,29.4,3.5,12.951304347826088
2.5863,6.7644,5.5014,5.5014,8,5,17.707330876483063,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,0,29.4,3.5,12.951304347826088
4.5918,7.1726,-0.4986,12.6795,7,4,17.034386422832473,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,1,32.6,2.5,11.708947368421052
0.7425,1.5808,1.2849,3.0027,10,3,15.336117475270969,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,1,9.0,0.19,22.517619047619046
2.5014,2.8301,3.0877,3.4932,13,2,17.147715103853763,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,0,10.0,0.16,26.16272727272727
2.2137,3.7863,4.0877,9.4986,8,2,15.286835397889838,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,1,5.896551724137931,1.25,30.634285714285717
3.8329,3.8329,3.7507,3.7507,3,1,16.52356082573315,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,0,27.0,4.76,19.115652173913045
5.4904,5.4904,0.0,0.0,1,1,14.969242461310827,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,7.0,5.25,14.947619047619046
0.0,3.3151,3.6959,5.6629999999999985,4,2,14.648420115681892,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,0,64.0,5.25,11.0425
0.2521,0.337,2.7836,4.3014,5,2,13.02805489573287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,0,27.0,5.02,25.02608695652174
4.8411,4.8411,1.0,1.0,3,1,16.380459992348886,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,1,5.0,5.25,10.817619047619049
4.0603,4.0603,3.0027,3.0027,7,1,16.52356082573315,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,1,26.0,5.25,11.0425
4.0685,4.0685,3.4192,5.2301,2,1,15.150511887854474,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,1,28.2,0.16,21.13095238095238
2.5068,4.5315,4.9315,5.6767,37,5,19.517624978858677,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,1,10.0,0.12,23.789
1.189,1.189,2.189,7.7753,5,1,13.815511557963774,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,1,26.2,5.25,13.351739130434783
1.3534,2.1644,4.5178,4.5178,3,2,16.166885910365842,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,0,27.8,1.98,18.303333333333335
4.1534,5.1671,3.0,3.0,6,2,15.967272877502799,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,1,32.6,2.5,11.708947368421052
0.0,2.0192,3.2548,5.0027,9,2,15.424948670398354,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,0,5.0,5.25,13.351739130434783
0.0,0.8685,0.4137,2.1671,3,2,14.650591234412886,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,1,74.0,0.17,17.3155
0.0822,0.0822,2.7836,4.3014,2,1,10.12667110305036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,28.4,0.16,26.16272727272727
2.6575,2.6575,0.0,0.0,1,1,15.201805169084134,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,0,5.0,5.26,11.155263157894735
0.6192,1.5945,1.0,4.3315,8,2,16.496532155171714,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,0,7.0,5.02,25.02608695652174
1.063,5.7014,2.7836,4.3014,0,3,17.599700214609808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,0,29.6,4.29,12.036
0.1671,2.6493,0.6082,4.7507,10,3,14.41595181469963,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,1,17.0,0.16,52.405
0.0,5.9041,3.8411,7.1370000000000005,18,7,17.213870651662358,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,1,0.0,4.59,11.69391304347826
0.0,4.8027,3.7205,7.6164,26,4,17.312018149733785,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,1,1,4.0,4.94,14.454545454545457
0.0,0.5836,0.5836,0.5945,9,2,11.736077016252437,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,1,75.0,0.1,35.02913043478261
0.1041,2.3863,2.3315,2.7918,7,2,15.201805169084134,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,0,27.8,2.98,25.456
3.4904,3.4904,5.6603,8.3425,10,1,16.118095750958314,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,1,7.0,4.49,25.58238095238095
4.6658,4.6658,8.7425,10.2247,25,1,15.607270193858982,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,1,1,0.0,5.25,13.351739130434783
2.6247,2.6247,3.2548,5.0027,4,1,17.034386422832473,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,1,3.0,3.5,12.951304347826088
0.926,2.9534,0.8329,2.7425,2,3,15.137266664613225,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,1,1,28.2,0.19,20.095714285714287
0.2466,0.2466,1.1178,1.663,9,1,14.914123179965662,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,11.0,0.11,20.643157894736845
0.189,1.189,1.3562,1.6575,6,2,13.959611767738522,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,1,10.0,0.19,24.74590909090909
3.2082,3.2082,5.2548,7.8822,11,1,16.118095750958314,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,1,3.0,4.16,11.26
2.5836,2.5836,2.0,2.0,5,1,14.914123179965662,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,10.0,2.0,20.695714285714285
1.8932,2.4466,2.0,3.2767,4,2,16.257857680289998,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,96.0,0.19,20.095714285714287
0.7479,0.7479,4.0493,8.3233,12,1,15.424948670398354,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1,3.0,3.5,12.951304347826088
5.1863,6.8137,7.3342,7.3342,9,2,17.182806422433504,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.0,1,1,31.4,2.63,13.126363636363635
0.6712,6.2329,4.0493,7.5973,37,6,17.36225027373553,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5.0,1,1,5.0,5.25,11.0425
1.1863,3.4986,3.2548,5.0027,0,2,16.304575300888487,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,0,2.0,2.63,13.126363636363635
2.1644,4.7616,4.0027,6.7534,13,3,16.300417291085605,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,1,28.4,2.61,27.103500000000004
4.1041,4.1041,1.9151,1.9151,18,1,15.520258832020865,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,1,1,28.0,0.18,44.79545454545455
1.989,4.1534,2.8986,5.2575,10,3,16.993564429978885,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,1,10.0,0.21,29.140454545454546
5.2027,6.189,7.5068,12.8932,6,2,16.118095750958314,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1,1,69.0,3.62,12.628095238095238
2.7836,10.9507,-1.9151,-1.9151,10,3,16.760458460238958,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,1,0,36.25,1.75,37.6475
3.4986,3.4986,3.0,3.0,6,1,15.424948670398354,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,0,27.2,2.01,24.321818181818184
4.0466,9.3041,6.0027,6.0027,2,5,16.7554434525954,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1,1,4.0,2.28,13.438
6.3726,6.3726,3.2548,5.0027,0,1,15.201805169084134,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,6.0,5.25,13.297727272727274
1.3259999999999998,2.7836,1.6740000000000002,3.1342,5,3,14.523981231813066,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1,11.0,0.16,17.767391304347825
2.6438,2.6438,0.0,7.3918,4,1,15.424948670398354,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,1,1,27.4,2.0,20.695714285714285
1.0877,1.0877,3.2548,5.0027,5,1,16.835935492889124,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,0,5.896551724137931,5.98,24.918571428571425
3.9616,6.5205,4.5781,7.6877,4,2,16.3995081858682,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,1,0.0,0.11,20.643157894736845
7.2548,7.2548,7.0055,7.0055,7,1,16.300417291085605,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,1,25.8,5.25,12.933000000000002
1.3342,3.0247,3.0219,3.337,9,3,16.256960495409263,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,1,1,0.0,5.25,11.0425
0.6795,0.6795,2.9178,4.2274,15,1,15.201805169084134,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1,11.0,1.81,30.23857142857143
0.0,0.0,0.1369999999999999,0.1369999999999999,3,1,12.779875885354993,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,1,13.0,0.16,21.13095238095238
0.0,0.2466,2.4164,5.3151,10,2,11.678448377988165,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,1,1,3.0,4.29,12.036
1.6685,9.337,7.3808,10.474,17,4,17.514340367683854,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,1,1,0.0892857142857142,1.61,14.08095238095238
1.8055,1.8055,3.2548,5.0027,1,1,14.914123179965662,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,0,11.0,0.97,61.17739130434782
2.6986,4.0027,1.0,1.0,2,2,16.796129244469636,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,0,3.0,3.62,12.628095238095238
9.1671,9.1973,3.2548,5.0027,0,2,16.694709071442087,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,0,6.0,5.26,15.162727272727272
0.011,2.0986,3.0904,3.7836,12,3,17.867295523158884,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4.0,1,1,29.0,0.16,17.767391304347825
0.6658,3.0384,2.0,5.0548,10,3,16.660419999923214,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,1,1,26.6,5.25,12.1845
0.0,1.3425,0.0,1.5479,4,7,13.03305773423396,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,0,78.0,3.94,25.81619047619047
0.0,2.0329,2.3151,3.1644,11,4,16.733281344102608,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,1,1,89.0,0.19,22.517619047619046
2.0466,2.0466,2.7836,4.3014,2,1,16.300417291085605,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,1,0,30.0,0.11,20.643157894736845
3.5123,3.9562,3.9534,4.8356,5,2,20.04992128564343,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,1,0,27.0,0.18,25.565238095238097
3.9342,4.6822,4.0027,4.0027,3,2,16.719675692787295,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,1,26.4,4.16,11.26
2.1616,5.6384,3.8329,7.6932,13,4,17.541204467128523,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,1,25.4,5.25,11.306363636363637
5.4411,5.4411,3.2548,5.0027,1,1,13.815511557963774,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,3.0,3.04,11.868636363636364
1.1288,1.1288,1.0,2.6767,7,1,15.424948670398354,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1,6.0,5.25,13.297727272727274
7.8877,10.6658,0.4137,0.4137,2,3,17.569709501618057,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,1,0,27.0,0.39,62.66894736842105
0.8822,0.8822,1.0259999999999998,2.1219,7,1,16.300417291085605,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,1,0,17.0,0.08,12.924
2.526,3.1041,3.0027,9.126,5,2,16.920097281273396,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.5,1,1,2.0,3.26,11.049
4.0027,7.8712,0.1616,0.1616,5,2,16.118095750958314,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.0,1,1,29.6,4.29,12.036
1.1671,4.6658,2.9151,4.6247,1,3,16.560509148857687,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.5,1,0,0.0,5.24,15.326
2.5726,2.5726,2.4795,4.6685,7,1,13.122365377402328,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,1,10.0,0.16,26.16272727272727
0.1151,1.3397,1.8329,2.6712,24,2,16.007164201982874,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.0,1,1,25.2,0.16,17.43
1.7479,4.8192,4.0027,4.8192,8,4,17.829187235185767,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4.0,1,1,27.0,4.76,19.115652173913045
3.7233,3.7233,2.7836,4.3014,1,1,15.201805169084134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,0,28.6,3.62,12.628095238095238
1.6986,6.5151,3.2849,4.9315,3,5,16.191747890710374,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,1,6.0,4.94,22.198947368421056
1.4082,1.4082,0.0,0.0,1,1,15.520258832020865,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,1,0,10.0,1.98,18.303333333333335
4.2849,4.2849,2.4164,5.5151,7,1,12.899222326086994,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,1,1,29.4,0.14,17.823
0.7507,3.0137,2.7836,4.3014,3,3,17.804494623047066,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.6667,1,0,27.0,4.76,19.115652173913045
20.8055,20.8055,3.2548,5.0027,2,1,17.281246492014,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1,0,3.0,3.78,14.937619047619048
5.789,5.789,3.2548,5.0027,1,1,16.380459992348886,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,1,3.0,3.78,14.937619047619048
0.0849,1.2712,3.2548,5.0027,5,3,16.341239282272525,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,1,1,2.0,2.5,11.708947368421052
2.3507,8.2822,1.0027,8.2849,16,4,17.454794512463224,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3.0,1,1,27.8,4.94,14.454545454545457
0.0,1.2548,2.1726,4.6,21,2,15.607270193858982,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,1,5.0,5.25,11.0425
2.4658,4.8329,0.5863,5.6164,4,2,15.424948670398354,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0,0,10.0,0.39,62.66894736842105
0.0,7.1068,6.0055,10.9041,9,3,17.893048018819147,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,1,1,5.896551724137931,5.45,23.202
1.0356,1.0356,0.0,1.0356,2,1,13.815511557963774,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,15.0,0.13,15.689565217391303
2.7233,2.7233,0.9151,6.3096,5,1,13.304686600863562,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,1,1,9.0,0.15,24.92666666666667
2.8356,3.1397,3.3781,3.7753,0,2,18.643824303266577,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,0,77.0,0.39,62.66894736842105
0.7945,2.9014,3.0493,6.5233,11,2,14.827111833279051,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,1,7.0,4.49,25.58238095238095
2.9178,4.7342,2.7836,4.3014,1,2,17.216707972959764,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,1,26.4,4.16,11.26
4.0137,4.0137,2.7836,4.3014,0,1,15.76142084987672,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,26.0,5.25,11.0425
0.411,0.411,0.0,2.5342,10,1,15.623799493077952,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,1,1,27.8,4.94,14.454545454545457
0.5315,1.9205,2.2548,2.9781,12,3,14.557448378884015,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4.0,1,0,12.0,0.1,16.244
0.1452,0.5014,0.4959,3.011,10,2,14.757469426450479,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3.5,1,1,83.0,0.12,23.789
10.7589,10.7589,5.0027,5.0055,0,1,14.508658238524095,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,36.0,4.76,19.115652173913045
2.5671,5.6904,2.0027,2.0027,3,3,16.924571561468124,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3.6667,1,1,31.0,3.26,11.049
1.0822,1.0822,6.0027,6.0027,12,1,15.648092181712572,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0,0,1,20.0,5.24,15.326
1.7479,1.7479,1.0,2.1096,4,1,13.26212705890841,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,0,1,12.0,0.08,31.94190476190476
0.0,0.5808,0.0,0.0,1,2,10.87806606028079,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,0,10.0,0.16,25.337142857142855
0.9151,2.7753,3.0027,3.6466,6,2,16.066802461833923,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.5,1,1,17.0,5.24,10.9645
0.0,0.8192,-1.7507,0.2521,7,2,15.068273812173887,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.0,1,0,10.0,0.15,44.683
0.7726,1.4959,-0.5863,3.7534,14,3,16.166885910365842,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6.3333,1,1,27.0,0.18,25.565238095238097
0.7562,4.4137,2.7836,4.0027,14,4,17.34919715186959,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2.25,1,1,27.8,0.97,61.17739130434782
0.6795,4.5507,5.0027,5.0055,2,5,18.262635463336707,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,4.6667,1,1,41.0,5.25,12.1845
6.1671,7.9205,8.0055,11.2548,6,3,18.420680753952364,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.5,1,1,4.0,4.59,11.69391304347826
0.0,1.4877,0.4055,1.3205,3,2,11.736077016252437,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.0,1,0,0.0,3.94,25.81619047619047
2.3178,4.2356,-0.3342,-0.3342,2,2,16.176364653421913,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.0,1,0,74.0,2.79,14.459047619047618
2.4192,5.4384,2.0027,2.0027,2,3,17.077445910607096,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.5,1,1,26.2,4.99,16.918636363636363
7.5315,7.5315,10.7342,10.7342,2,1,17.216707972959764,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,1,7.0,5.26,17.273333333333333
1.0575,1.7699,1.0301,1.1123,6,3,11.797246896789762,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,1,0,26.4,0.07,32.829047619047614
0.6,4.2247,-0.7479,4.4767,9,3,16.066802461833923,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.0,1,1,6.0,5.25,13.297727272727274
6.1233,6.1233,6.0055,6.0055,9,1,16.705882371415992,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0,1,1,28.6,4.49,12.471052631578948
1.8329,1.8329,1.7479,1.7479,4,1,13.444448325847754,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,1,0,11.0,0.07,25.047619047619047
5.1644,6.0055,2.0685,4.6164,1,3,17.039637053901,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,1,1,69.0,4.59,11.69391304347826
3.5288,3.5288,2.7836,4.3014,1,1,14.508658238524095,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1,0,27.0,0.18,25.565238095238097
